Business Name,Category,Area,Instagram/FB,Status,Notes (verify before building)
"Eltingville Nail & Spa (Fiona)",Nail Salon,Eltingville,@eltingville_nail_spa_fiona_,NO-SITE,4434 Amboy Rd; gel/acrylic/lash; NOT the 4328 salon we did
"Maggie Creative Nail & Spa",Nail Salon,Annadale,@creativenail855,DEPLOYED,LIVE creative-nails-and-spa.netlify.app; 855 Annadale Rd (718) 227-8808
"S.I. Cleaning",House Cleaning,Staten Island,facebook.com/cleaningservicesinnewyork,DEPLOYED,LIVE si-cleaners.netlify.app; confirm local operator + phone
"Kleen Kuts Pet Grooming",Pet Grooming,Staten Island/10305,facebook.com/kleenkutspetgroomingsi,DEPLOYED,LIVE kleenkuts.netlify.app; (917) 860-9291; ⚠️verify open + 5mi radius
"Paws Grooming Spa",Pet Grooming,Charleston/10309,@pawsgroomingspa,SKIP,Has site pawsgroomingspa.com
"South Shore Deli & Grocery",Deli,South Shore,IG location tag,SKIP,Has site southshoredeliprovisions.com
"Untouchable Cutz",Barber,Staten Island/10305,@untouchablecutz,CHECK,"Voted best barber"; 10305 (north of 5mi?) — confirm area+site
"CKO Kickboxing Great Kills",Gym/Fitness,Great Kills,@ckogreatkills,SKIP,Franchise — corporate handles site
"Fresh Twist Juice Bar",Juice Bar/Eatery,New Dorp/10306,@fresh.twist,SKIP,Has site freshtwistnyc.com; New Dorp not south shore
"Chocolate Island NY",Dessert/Ice Cream,10314,@chocolateislandny,CHECK,432 Manor Rd (10314 - north); no own site found (joe.coffee/social only) - confirm area
"Country Donuts",Coffee/Donuts,South Shore,(find IG),CHECK,South Shore favorite — find handle + confirm
"Sanctuary Boutique",Boutique,10304,@sanctuaryboutique,SKIP,Has site sanctuaryboutique.com; also 10304 not south shore
"Aurora River Candles",Candles,Staten Island,@aurorarivercandles,SKIP,Has Etsy store (sells online already)
"Dipped by Mandaa",Dessert (home),Staten Island,@dippedbymandaa,DEPLOYED,LIVE dippedbymanda.netlify.app; order via IG 5-day notice
"Grand Trine Designs",Home Decor,Staten Island,@grandtrinedesigns,DEPLOYED,LIVE grandtrinedesigns.netlify.app; eco-resin decor IG-only
"Evergreen Florist",Florist,Huguenot/10312,(IG),SKIP,Has site evergreenfloristonline.com
"Eltingville Florist",Florist,Eltingville,(find IG),CHECK,Confirm no site
"Sam Gregorio's Florist",Florist,Staten Island,(find IG),CHECK,Confirm site status
"Master Nail & Spa",Nail Salon,Eltingville/10312,@master1nails,CHECK,4569 Amboy Rd; only a basic Wix placeholder = REDESIGN candidate, not no-site
"Amy's Pet Palace",Pet Grooming,Annadale/10312,@amyspetpalace,SKIP,Has site amyspetpalace.com
"Egger's Ice Cream Parlor",Ice Cream,Staten Island,@eggersicecreamparlor,SKIP,Has site eggersicecream.com
"GelaTerra",Gelato/Coffee,Staten Island,(IG),SKIP,Has site gelaterra.us
"Picture PAWfect Grooming",Pet Grooming,Great Kills,@picturepawfectgrooming_,SKIP,Has Wix site (redesign-only)
"Beyond the Sea",Seafood Market,SI (10304),@beyondthesea_si,SKIP,Has site; market closed; not South Shore
"Top Notch Barber Shop",Barber,New Springville,@topnotchbarbersh0p,DONE,Already built+pitched
,,,,,
"--- HUNT SLOTS: fill these by searching the category, then verify no-site ---",,,,,
"Barber — Great Kills #1",Barber,Great Kills,search booksy.com 30382,SLOT,Search 'barber great kills' on Booksy/IG; pick a no-site shop
"Barber — Tottenville #1",Barber,Tottenville,search IG location,SLOT,IG location tag Tottenville barber
"Nail salon — Great Kills #1",Nail Salon,Great Kills,search Yelp,SLOT,Yelp nails Great Kills; find no-site
"Nail salon — Tottenville #1",Nail Salon,Tottenville,search Yelp,SLOT,
"Lash/brow studio — South Shore #1",Lash/Brow,South Shore,search Fresha,SLOT,Fresha eyebrows-and-lashes SI; pick solo no-site
"Lash/brow studio — South Shore #2",Lash/Brow,South Shore,search IG,SLOT,
"Hair salon — Annadale #1",Hair Salon,Annadale,search Yelp,SLOT,
"Hair salon — Eltingville #1",Hair Salon,Eltingville,search Yelp,SLOT,
"Pizzeria — Tottenville #1",Pizzeria,Tottenville,search whereyoueat,SLOT,Confirm no site (many already have one)
"Deli — Great Kills #1",Deli,Great Kills,search IG,SLOT,
"Bakery — South Shore #1",Bakery,South Shore,search IG,SLOT,
"Butcher — South Shore #1",Butcher,South Shore,search Yelp,SLOT,
"Caterer — South Shore #1",Caterer,South Shore,search IG,SLOT,
"Landscaper — 10312 #1",Landscaping,10312,search FB,SLOT,Many FB-only; confirm no site
"Landscaper — 10309 #1",Landscaping,10309,search FB,SLOT,
"Cleaning service — South Shore #1",Cleaning,South Shore,search FB,SLOT,
"Handyman — South Shore #1",Handyman,South Shore,search Yelp,SLOT,
"Painter — South Shore #1",Painter/Contractor,South Shore,search FB,SLOT,
"Auto detailing — South Shore #1",Auto Detailing,South Shore,search IG,SLOT,
"Auto repair — South Shore #1",Auto Repair,South Shore,search Yelp,SLOT,
"Dog groomer (mobile) — South Shore #1",Pet Grooming,South Shore,search IG,SLOT,Confirm no site (some have one)
"Photographer — South Shore #1",Photographer,South Shore,search IG,SLOT,Solo IG-only shooters are great fits
"Personal trainer (solo) — South Shore #1",Personal Trainer,South Shore,search IG,SLOT,Confirm no site
"Boutique — South Shore #1",Boutique,South Shore,search IG,SLOT,
"Florist — South Shore #1",Florist,South Shore,search IG,SLOT,
