Business Name,Category,Area / ZIP,Instagram/FB,Status,Notes
"--- VERIFIED NO-SITE — wider-area expansion (batch 3) ---",,,,,
"Richie's Barber Shop",Barber,Great Kills 10308,@richies_barbershop,BUILT,mockups/richies-barber; 305B Nelson Ave (718) 308-6818; ready to deploy
"Retro Barbershop",Barber,Great Kills 10308,(IG),SKIP,Has site retrobarbershopny.com — verified, dropped
"New Dorp Central Deli",Deli,New Dorp 10306,@centraldeli360,BUILT,mockups/newdorp-central-deli; IG only; confirm addr/phone/hours
"New Coco Nails",Nail Salon,New Dorp 10306,@new_coco_nails_ndl,BUILT,mockups/new-coco-nails; 164 New Dorp Ln; ready
"La Belle Nail Spa",Nail Salon,New Dorp 10306,@290_labelle,BUILT,mockups/labelle-nail-spa; 290 New Dorp Ln; ready
"Drew's Auto Detailing",Auto Detailing (mobile),Staten Island,@drews.auto.detailing,BUILT,mockups/drews-auto-detailing; 1.1k followers; ready
"New Diva's Island Threading",Brow/Threading,New Dorp 10306,(IG),SKIP,Has site newdivassalon.com — verified, dropped
,,,,,
"--- CHECKED & REJECTED (have sites — did NOT list to save your time) ---",,,,,
"Fresh Kills Barbershop",Barber,Great Kills,@freshkillsbarbershop,SKIP,Has site freshkillsbarbershop.com
"Goodfellows Barbershop",Barber,Great Kills,(—),SKIP,Has site goodfellowsbarbershop.com
"Mike's Barber Shop",Barber,Great Kills,(—),SKIP,Has site mbs.revold.us
"Supreme Italian Market",Butcher/Deli,South Shore,@supremeitalianmarket,SKIP,Has site supremeitalianmarket.com
"Little Italy Gourmet",Italian Market,New Dorp,(—),SKIP,Has site littleitalygourmetnyc.com
"Novelli's Catering",Caterer,Staten Island,(—),SKIP,Has site novelliscatering.com
"New Dorp Nails",Nail Salon,New Dorp,(—),SKIP,On Fresha booking platform (has booking site)
"Nail'dit Inc",Nail Salon,New Dorp,(—),SKIP,On Fresha booking platform
"Holtermann's Bakery",Bakery,Great Kills,(—),SKIP,Historic 1878 bakery — likely has presence; confirm if pitching
,,,,,
"--- NEXT HUNT ZIPS (expand from here) ---",,,,,
"West Brighton 10310 — barbers/nails/delis",,10310,search Yelp+IG,SLOT,North-shore expansion
"Port Richmond 10302 — auto/food/services",,10302,search Yelp+IG,SLOT,
"Rosebank/Dongan Hills 10305 — salons/eateries",,10305,search IG,SLOT,
"Bulls Head/New Springville 10314 — services",,10314,search FB,SLOT,Landscapers/cleaners FB-only
